EncouragingDiscouraging,ExpertiseScale,PosterTone,RespectfulDisrespectful,gender,speakerhidden,talkid
Encouraging,No degree,Positive,Neutral,female,"<br><span class=""highlighted"" data-timestamp=""1519022578686"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">she doen't seem childish - she is like a mini adult.</span> hopefully, when she is talking that we need more child like behaviour she remembers what she is talking about, <span class=""highlighted"" data-timestamp=""1519022587669"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">of her being a child</span>. how does she see other childs that are not at her level - as childish?",1458
Encouraging,STEM degree,None,Respectful,female,"josette, this is the perfect argument to support the creation of a smarter economy. i would love you read your thoughts. http://forwardeconomics.net/2015/03/06/wealth-inequalilty-smart-economy/",1137
Discouraging,No degree,Negative,Respectful,female,"<br>doug burnett, let me ask you... what have you done yourself to help these starving children?  <span class=""highlighted"" data-timestamp=""1519022650423"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">she has helped penguins, and what have you accomplished?</span>",1426
Encouraging,No degree,Positive,Respectful,female,"<br>i was so astonished that because i thought visually impared people are so desperate and gloomy.  cheiko asakawa was enjoying her life like a normal person and invented the device for the blind. <span class=""highlighted"" data-timestamp=""1519022665375"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">i wonder how she can think about that?</span>  i was fascinated by her brilliant idea.",78
Encouraging,No degree,Positive,Respectful,female,"<br>i love the line in the end of the speech about ""taking back her narrative."" by standing up to cruelty and bullying, <span class=""highlighted"" data-timestamp=""1519022692063"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">she is inspiring many to do the same.</span> great talk.",234
Encouraging,No degree,None,Neutral,female,great did you know this was discovered way back into the b.c.s its in the hindu mythology depicted in pictograph y as ardanareshwar.however your experience can be every ones without the tumor or the surgery.its known as self realization.,1887
Encouraging,No degree,None,Respectful,female,"making poverty history.......is  about understanding that people really don't want handouts, that they want to make their own decisions; they want to solve their own problems; and that by engaging with them, not only do we create much more dignity for them, but for us as well.",2052
Encouraging,None-STEM degree,None,Neutral,female,"the genius that elizabeth refers to reminds me of what napoleon hill in his book, think &amp; grow rich, calls the ""infinite intelligence""  for all that found this talk interesting, i would recommend that book.  he gives an interesting approach to success and creativity.",1710
Encouraging,None-STEM degree,Positive,Respectful,female,"<br>what a impressive speech.!! i think, <span class=""highlighted"" data-timestamp=""1519022738021"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">she should be trying to overcome her stroke with lots of efforts.</span> <span class=""highlighted"" data-timestamp=""1519022732981"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">i admire her passion on intellectual entertainment.</span>",1887
Encouraging,STEM degree,Positive,Respectful,female,"<br>as you stated, fixing things that are broken, is not the only reason for research...another perspective would be...learning how something works would help the world not break it in the first place....<span class=""highlighted"" data-timestamp=""1519022760350"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">thank you for your work!</span>",341
Encouraging,No degree,Strongly Positive,Respectful,female,"<br>your talk brought tears to my eyes.  <span class=""highlighted"" data-timestamp=""1519022772349"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">what an amazing person you are.</span>",234
Encouraging,No degree,Negative,Neutral,female,"<br><span class=""highlighted"" data-timestamp=""1519022789126"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">like her or not (i don't very much)</span> you have to admit trolling saddam hussein is pretty damn hilarious.",1251
Discouraging,None-STEM degree,Negative,Neutral,female,"<br>she makes it sound like black people (including obama) shouldn't have office jobs because they might go nuts. <span class=""highlighted"" data-timestamp=""1519022813303"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">how problematic.</span>",1604
Encouraging,STEM degree,Positive,Respectful,female,"<br><span class=""highlighted"" data-timestamp=""1519022829974"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">very interesting talk by a real scientist - not someone trying to sell you something.</span> i hope the solution comes soon! makes me want to take good care of myself so i'm still around when they crack the code!",1068
Discouraging,None-STEM degree,Strongly Negative,Disrespectful,female,"<br><span class=""highlighted"" data-timestamp=""1519022856525"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">i won't even listen to someone who uses the arrogant and pompous ""people"" sobriquet.</span> ""friends"", ""folks""...how about it? <span class=""highlighted"" data-timestamp=""1519022849031"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">you're not so damn important that you grace us with your superiority.</span>",363
Encouraging,None-STEM degree,Negative,Neutral,female,"<br>i noticed in her book, pamela states that people are most likely to lie to their co-workers than to strangers. in fact, there is a whole chapter on this phenomenon. <span class=""highlighted"" data-timestamp=""1519022868014"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">she must have slipped up here.</span>",1092
Encouraging,No degree,None,Respectful,female,dont forget the butterflies! they help pollinate too! depending on your area...they can use different flowers to help them feed and reproduce. like fennel....carrot....and many others!,594
Encouraging,STEM degree,None,Respectful,female,i might have missed it but are these cells originally stem cells? it would be cool to see if the methuselah foundation could benefit if they use these chips in their research.,540
Encouraging,No degree,None,Respectful,female,am i the only one who feels like her talk got cut off at the end?  seems to me like she had a whole lot more to say on the subject.,2078
Encouraging,None-STEM degree,None,Respectful,female,"the sad truth is that she is right.  the better lie detector you can be, the sooner you will be able to protect yourself from people who use lies and half truths for their own benefit or in taking advantage for others.  great video.",1092
Encouraging,No degree,None,Respectful,female,the north korean government will come to arrest you as they will see that you escaped. north korea's leader should be eliminated and north korea should start a new community with the world's help. the people in north korea are innocent but the leaders are the problem.,714
Encouraging,STEM degree,None,Respectful,female,"nowadays, the word ""hacker"" has been transformed in a negative way because from the begining the original hackers were technology lover and they intend to make it better and not just do bad things with their knowledge.",489
Discouraging,No degree,None,Neutral,female,"some might feel insulting when she imitate the action of a chinese. ted's audiences are broader than national television (i saw her once on the daily show, jon stewart).",728
Encouraging,No degree,Positive,Respectful,female,"<br>her book, ""my stroke of insight"" is <span class=""highlighted"" data-timestamp=""1519022954445"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">easy to read and very informative.</span> don't take my word for it, visit your local library/",1887
Encouraging,No degree,None,Neutral,female,the radiation can not prevent the linkage with their hometown. may them live happily ~~,561
Encouraging,None-STEM degree,None,Respectful,female,"having grown up in a similar environment, speaking 3 different languages - 1 at home, 1 on the street, and 1 in school, i understand what jamila is saying.  i think she missed a major point.  you must consider the audience, the environment, and the purpose.",404
Encouraging,STEM degree,None,Respectful,female,"great talk. she says true. some people can believe that genetic modification is sinister but it makes plants more resistant to disease, so i agree her idea",205
Encouraging,STEM degree,Positive,Respectful,female,"<br>this is a great talk by kelly. so many people come to me who do not understand how to manage stress and i often refer them to this talk so that they can see <span class=""highlighted"" data-timestamp=""1519022996389"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">how well she explains things for herself.</span>",603
Encouraging,STEM degree,None,Respectful,female,"i am not expert at neuroscience,  so i do  not criticize her work  but information she gave is very important for humanity. i will try to experience all of them.",113
Discouraging,STEM degree,None,Respectful,female,"except that researchers in hawaii and israel have found that the bees are dying out because of a virus.  this research was published only a year before her talk, though, so i guess she can be excused.  http://www.sciencedaily.com/releases/2012/06/120607142357.htm http://www.israelnationalnews.com/news/news.aspx/168978#.ujkvmgsgl1k",594
Discouraging,No degree,None,Disrespectful,female,the extend that people care about slavery is the same as the distance from themselves and their monitor. so much careness! lets pray and maybe god will help! yeah thats it!,859
Encouraging,No degree,Positive,Respectful,female,"<br><span class=""highlighted"" data-timestamp=""1519023442835"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">there is one intelligent and courageous woman.</span> though i still think someone should tell her that applauding for yourself is considered blasphemy in britain.",1637
Encouraging,STEM degree,None,Respectful,female,"great idea... not everyone knows what kind health service is available and how to access them. one of my friends was once looking for a counselling for his husband's anxiety and aggressive behaviour in their own language, but ended with disappointment......people in need need to information",912
Encouraging,STEM degree,None,Respectful,female,"awesome, my father over 80 he do up & down 6 storied building every day. i thought it may be dangerous to him. now i come to know that it is help him to build new neuron is it true?",113
Encouraging,STEM degree,None,Respectful,female,"it's so excting. specsially, ""men lie eight times more about themselves than they do other people. women lie more to protect other people."" is interested. because i think that each other are opposited",1092
Encouraging,No degree,None,Neutral,female,"18 - at length, when they came to a valley of ants. one of the ants said: o ye ants, get into your habitations, lest solomon and his hosts crush you (under foot) without knowing it."".  nobile qura'an. (the book of muslims)",1914
Encouraging,STEM degree,None,Respectful,female,"do it, my mother had a wieght problem. some docter perscriber her a med that she is now addicted to.  she is no longer mentaly sound.  we need to fix this problem.",912
Encouraging,No degree,None,Respectful,female,"what really makes people hesitate to go forward is a sense of guilty or drawbacks. i know overcoming them is unaviodable step in our lives, but it's quite hard. embrace all my things regardless of their value. i am sure open mind for eveything beside me will push me forward.",1287
Encouraging,None-STEM degree,None,Respectful,female,"strange, she calls it hacking but we already had some fine words for that. for example 'taking responsibility'. and of course citizens who take responsibility are good citizens right? ps: i completely agree with her talk",489
Encouraging,No degree,Positive,Respectful,female,"<br>very fascinating testimony of her unfortunate/fortunate experience!  everyone has a choice...i'm choosing to write a comment.  everything you do in ""this life"" is a choice...when you wake up in the morning...you have a choice...is this gonna be a good day or a bad day...right?  <span class=""highlighted"" data-timestamp=""1519023514332"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">she is truly amazing!</span>",1887
Encouraging,No degree,None,Neutral,female,surely it's irrelevant whether the story is factual or not? it's just a story that inspired by he painting and how the viewer interprets it. it doesn't have to even feasible it's just the journey the persons imagination takes them on.,873
Encouraging,None-STEM degree,None,Respectful,female,"i quit all my jobs a few years ago, to keep showing up at the canvas. i am holding my part and the geniuses are gracious as always.  i am sure they will be there as you show up too!",1710
Encouraging,No degree,Positive,Respectful,female,"<br><span class=""highlighted"" data-timestamp=""1519023715435"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">does she really need to tell people this?</span> yes because people seem to have forgotten they need other people.",971
Discouraging,No degree,Negative,Disrespectful,female,"<br><span class=""highlighted"" data-timestamp=""1519023725369"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">sorry, what's with her shirt?</span>  <span class=""highlighted"" data-timestamp=""1519023728009"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">did she miss a button and no one told her or is that intentional?</span>",859
Encouraging,STEM degree,None,Respectful,female,please don't let them kill nasa!!!  nasa needs your help!!!!,1940
Encouraging,No degree,None,Respectful,female,"this is really unbelievable. how can people in north korea live in such a life? i was touched by a sentence in her last letter. "" i don't want you to lead the revolution.""",182
Encouraging,None-STEM degree,None,Respectful,female,this topic could be of strong relevance to esp those situations where demagogues exhort their people to do things against their will by making them believe false things or implant false memories of a past strife or war.,590
Encouraging,STEM degree,None,Neutral,female,the monkeys should found their own monkey federal reserve so they can legally counterfeit tokens and bleed the caregivers dry or grapes.,1378
Encouraging,No degree,Positive,Respectful,female,"<br><span class=""highlighted"" data-timestamp=""1519023778250"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">lauren - great to finally see your presentation!</span> i heard from your dad all about it, and just stumbled upon it here on ted. great job! see you father's day weekend (possibly)!",1037
Encouraging,No degree,Neutral,Neutral,female,"<br>wonderful presentation. <span class=""highlighted"" data-timestamp=""1519023789794"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">delightful voice.</span> excellent material. <span class=""highlighted"" data-timestamp=""1519023792464"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">why did she ignore the people to her left?</span> <span class=""highlighted"" data-timestamp=""1519023793457"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">while presenting, she only looks forward or to her right.</span>",1092
Encouraging,STEM degree,None,Respectful,female,"remember that since bacteria are so old, we may not even be seeing their real communications. they may even be far more advanced, packaged into tiny cells, than we are.",1670
Encouraging,STEM degree,None,Respectful,female,"insects have kinky sex because they know, absolutely for certain, that their lives will be very short and nasty, so they just grab all the gusto they can.   lessons to be learned.",157
Encouraging,STEM degree,None,Respectful,female,this talk was amazing and inspriring. it also makes me wonder about the starlings inside a murmuration. feeling sound with your body must also happen to them. are they playing with sound? has anybody scientifically studied or modeled this? http://www.youtube.com/watch?v=irnqhi2ka9k&feature=related,1997
Encouraging,No degree,Strongly Positive,Respectful,female,"<br><span class=""highlighted"" data-timestamp=""1519023855825"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">admire her spontaneity</span>, <span class=""highlighted"" data-timestamp=""1519023864192"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">being so free to express herself via multichannels</span>. fabuous!!!! while lots of people like me accept being trapped by various boundaries and geting used to restrain our feelings as a norm, <span class=""highlighted"" data-timestamp=""1519023861505"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">it is utterly refreshing to watch her</span>",1227
Encouraging,STEM degree,Strongly Positive,Respectful,female,"<br><span class=""highlighted"" data-timestamp=""1519023877217"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">temple grandin is brilliant.</span> just like ken robinson she sees the need to improve education. every person has particular abilities which allow them to solve problems in many different ways. <span class=""highlighted"" data-timestamp=""1519023880056"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">people like her are what we need to improve the world and solve our problems.</span>",1484
Encouraging,No degree,Positive,Respectful,female,"<br><span class=""highlighted"" data-timestamp=""1519023889064"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">appreciate your spirit to fight back and wish you best wishes for your planned career.</span> will surely send positive message as suggested by you for somebody facing difficult time.",234
Encouraging,No degree,Positive,Respectful,female,"<br><span class=""highlighted"" data-timestamp=""1519023900463"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">bravo girls!!</span> you provide hope to us all that your generation (i have two kids in college now) will be able to straighten out the mess that the last few generations have left you, including mine.",856
Encouraging,No degree,None,Neutral,female,i think the key with grit is that it helps manage and leveraging your failures ... rather than to achieve your goals. not that it doesn't help you in achieving your goals ... but that's the secondary outcome. the main benefit is that it can help you overcome failures.,674
Encouraging,STEM degree,None,Neutral,female,i often see people isolating themselves by staring at their phones whenever possible only concentrating on their old relations. of course staying connected isn´t a bad thing but it is obvious that technology can also create isolation as well as prevent it.,1548
Discouraging,None-STEM degree,None,Disrespectful,female,"non-violence with terrorists?  they may even build a tomb over your dead body,  see how they are building near ground zero in new york on over 3000 dead bodies .",1535
Encouraging,No degree,None,Respectful,female,"absolutely brilliant comedy!  i love the view of growing up catholic.    however, just because she has had a bad experience with religion she has let it affect her faith.     faith is understanding, religion is political manipulation.",2078
Encouraging,None-STEM degree,None,Respectful,female,"thandi could not have put it better, with such elegancy and rawness its seems like she allowed us to experience a small part of her true self and in turn made me acknowledge the idea 'oneness' because i felt like i had experienced every single thing she mentioned. beautiful.",1143
Encouraging,No degree,Positive,Respectful,female,"<br><span class=""highlighted"" data-timestamp=""1519024004762"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">makes you wish you had her ass a teacher lol</span>",683
Encouraging,STEM degree,Strongly Positive,Respectful,female,"<br>because of her personal experience as a child ,she understand what a child really need.she devoted herself to those low-performing schools and struggled to change them .<span class=""highlighted"" data-timestamp=""1519024016097"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">i can truely feel that she loves her students very much!</span>",183
Encouraging,No degree,None,Respectful,female,"did it hit me hard when i first heard it?..no..but it kind of remained in my conscience mind for long..i felt connected..and i think that's what she is talking about..feel!!.. everyone has their own way of feeling things..but as long as u do, i think that's what counts.",1232
Encouraging,No degree,Negative,Neutral,female,"<br>couldn't the microphone have been a different color? <span class=""highlighted"" data-timestamp=""1519024038634"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">the whole time i wondered if he had some huge wart on his cheek.</span>",1238
Discouraging,None-STEM degree,None,Disrespectful,female,"this is ridiculous, dolphins don't have language. they communicate gestures with sounds and movements, like most other animals. if they had language, you would see clear evidence of a complex society. on this planet, only humans posses language skills.",655
Encouraging,No degree,Strongly Positive,Respectful,female,"<br><span class=""highlighted"" data-timestamp=""1519024062626"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">alix's story is very inspiring and unbelievable</span> for many with just words, it is truly inspiring how she turned around her life and achieved all those success in her life.",147
Discouraging,No degree,Strongly Negative,Neutral,female,"<br><span class=""highlighted"" data-timestamp=""1519024072930"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">this woman is a completely unprofessional person.</span> how could she possibly believe that the extent of her field experience should be the soul reason that she be allowed to handle such a sensitive issue like this?",1457
Encouraging,No degree,Positive,Respectful,female,"<br><span class=""highlighted"" data-timestamp=""1519024115896"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">i would think your dream for the marathon was a big catalyst in the healing of you personally</span> . when we take our minds off our own troubles and work on another it tends to make us better mentally and physically",605
Encouraging,STEM degree,Positive,Respectful,female,"<br>in my opinion, <span class=""highlighted"" data-timestamp=""1519024126977"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">you are wonderful, capable and gifted professional doctor</span> regardless all the rubbish rumors which was published about you. i think there is jealousy because of your track record of success. god bless you, and give you good health &amp; strength!",1210
Encouraging,None-STEM degree,Positive,Respectful,female,"<br>we have to ""live the present"", to experience fully with our 5 senses, so listening to music involves much more than simply letting sound waves hit our eadrums. of course, if the an <span class=""highlighted"" data-timestamp=""1519024142122"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">artist like you show his passion &amp; perform superb</span>, the quality of the experience makes the difference.",1997
Encouraging,No degree,Strongly Positive,Respectful,female,"<br><span class=""highlighted"" data-timestamp=""1519024158495"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">joan is speaking from experience and from the heart.</span> <span class=""highlighted"" data-timestamp=""1519024155847"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">i hear her words but i feel her more.</span>  <span class=""highlighted"" data-timestamp=""1519024153074"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">she is full of compassion</span>. i cried. <span class=""highlighted"" data-timestamp=""1519024162263"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">she has transformed me.</span>",1120
Discouraging,STEM degree,None,Respectful,female,"notice her comment at the end - ""brain implant"" - the beginning of computers and external sources replacing the human brain....this is scary and very android - remember terminator? can humans use this to their benefit without destroying themselves?",1691
Encouraging,No degree,Strongly Positive,Respectful,female,"<br>i think <span class=""highlighted"" data-timestamp=""1519024203417"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">it needs pointing out that such appearance requires immense courage since you basicaly go and put yourself there with yout story</span> that could completely hit home or leave a murmur of dissapointement.   an idea definately wort spreading. keep on going at it elizabeth!",1710
Encouraging,No degree,None,Respectful,female,"very interesting performance. very abstract and metaphorical, but i think when you boil it all down you're left with ""don't spend all your time on your bb/iphone/android/laptop, remember to live in the real world or risk missing out on a big part of your identity.""  i can agree with that.",562
Discouraging,No degree,None,Respectful,female,i see nothing wrong with wanting your picture taken 'the indian guy' people want their picture taken because of the culture they represent rather that the colour of their skin.,951
Discouraging,No degree,None,Respectful,female,"prophet muhammad (s) was afraid ok... but it wasn't doubt at all, nor disbelief... and of course he never thought about ending his own life for that... sorry you're not accurate in interpreting what you think muslims ""think"" is true",643
Encouraging,No degree,None,Respectful,female,"this is revolutionary. she destroys the limits that the ""great masters"" created. she is a lightning that burns everything in her way; an act of destruction became an act of creation and life.",601
Encouraging,None-STEM degree,Positive,Neutral,male,"brilliant speech. captivating your expressions, presentation and memory. however you are inconclusive on the belief of god by majority of humans. perhaps such belief and such reality is too complex to comprehend by the science or neurology ?",1934
Encouraging,None-STEM degree,Positive,Neutral,male,"this was very interesting but was expecting something a bit different.   ted, have artist gregory colbert, who created ashes and snow speak about creating awe in film. would be absolutely mind blowing to hear him speak about his work.",853
Encouraging,STEM degree,Positive,Neutral,male,"if this technology is safe, sell it to iran as an alternative to what they are doing. you might yet avoid ww iii.",686
Discouraging,STEM degree,Strongly Negative,Neutral,male,"<br>this makes me insane! <span class=""highlighted"" data-timestamp=""1519069767609"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">what an arrogant, self-serving, look-at-how-great-i-am talk this is!</span> ted, i thought you were better than this!<span class=""highlighted"" data-timestamp=""1519069782016"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true""> that someone who claims to speak for all things in support of a healthy planet could spend his weekends participating in its demise is laughable</span>.",1427
Encouraging,No degree,Strongly Positive,Neutral,male,"<br><span class=""highlighted"" data-timestamp=""1519069804605"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">what an amazing young man</span>..   what a inspirational story...   it so sad that the african govenment cannot reach out and provide any assistance..  <span class=""highlighted"" data-timestamp=""1519069811521"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">young man like this can does not happen everyday...  i wish him the best of luck and i hope he people will have a better life</span>",1575
Encouraging,No degree,Neutral,Neutral,male,"here is another video teaching a ""better way to tie your shoes"".  but it's done 'infomercial style' and taught to you by canadian singer/songwriter, cat jahnke.  very funny stuff!  (and she's hot - if that matters).  check it out: http://youtu.be/hdu2fqdtoho",1184
Discouraging,None-STEM degree,Strongly Negative,Disrespectful,male,"<br>@david tucker... agreed, obsession with growth is the problem.  his entire argument here is to use ideas in service of this obsession, this central dogma. notice when he wishes to show optimism the graphs stop at 2007.  <span class=""highlighted"" data-timestamp=""1519069953062"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">almost as nauseating as ayn rand.</span>",1657
Encouraging,,Positive,Neutral,female,"wonderful talk, elizabeth!... one thing struck me, you based it on the premise that creativity leads to anguish... but isn't it the reverse? the creative genius often comes from great suffering... even your book ""eat, pray, love"" was in essence born this way...",1710
Encouraging,None-STEM degree,Positive,Neutral,male,"wonderful talk, elizabeth!... one thing struck me, you based it on the premise that creativity leads to anguish... but isn't it the reverse? the creative genius often comes from great suffering... even your book ""eat, pray, love"" was in essence born this way...",1794
Encouraging,None-STEM degree,,Neutral,male,"please see the ted blog for resources world-wide on suicide prevention, post-attempt survivors and their families: http://t.co/wsnry9c  if you know a resource that isn't listed, either in your country or anywhere, please let us know at conversations[at]ted.com.",1169
Encouraging,None-STEM degree,Neutral,Neutral,male,"please see the ted blog for resources world-wide on suicide prevention, post-attempt survivors and their families: http://t.co/wsnry9c  if you know a resource that isn't listed, either in your country or anywhere, please let us know at conversations[at]ted.com.",1707
Encouraging,No degree,Positive,Neutral,male,i can see in the video the important of the life and i learn that you have a day as a gift and if you dont enjoy it you fail because you dont know what day will be your final day.,789
Encouraging,None-STEM degree,Positive,Neutral,male,absolutely brilliant.  but...two questions:  why is the defense department so interested in developing defense against small pox? (hint: so they can use small pox as a weapon with impunity.)  why did you tear your house down?  did the carpenter-ant-repelling mushrooms eat your house?,1865
Encouraging,STEM degree,Neutral,Neutral,male,there is a theory that indian sages go into a state of suspended animation and can keep themselves alive without food/water for years and few people suggest that it is by reducing their bmr...,1472
Encouraging,STEM degree,Neutral,Neutral,female,"ants never poison their own colony... we have a lot to learn from them   so in some ways, ants are smarter or wiser than humans?",431
Discouraging,None-STEM degree,Negative,Neutral,female,"the speaker is confusing the writing system with language. her system of ""learning chinese"" would be like learning english by learning spellings and what they correspond to in your native language, without anything about how to pronounce words or to put them together to form sentences.",681
Encouraging,STEM degree,Positive,Neutral,male,numbers can tell a compelling story but they can be quite difficult to comprehend especially when you get too many of them all together. this is a fantastic way to present a story with statistics.,1592
Encouraging,None-STEM degree,Neutral,Neutral,female,she is right in that common language supports kinship. she brought it home for me when she was describing the smells of a shared experience.  my mother was a korean war bride. her closest friends had that in common with her. they always spoke japanese.,523
Encouraging,None-STEM degree,Neutral,Neutral,male,"correcting for distortions i believe is a mistake.  so many truths are lost us us when, if they do not display the properties we are used to, are called distortions, and then corrected.  perhaps we should let them stand and try to expand our perceptions.",872
Encouraging,None-STEM degree,Positive,Neutral,male,i was impressed your speech. he spoke truth about our school system and society. i agree with you.,677
Encouraging,STEM degree,Positive,,male,"hahaha, the way the man is talking is very funny! it is also a very interesting idea. as a matter of fact, it's quite a good idea to make your website visitors have a good laugh, instead of making them angry with a 404-error screen.",940
Encouraging,STEM degree,Positive,Neutral,male,"hahaha, the way the man is talking is very funny! it is also a very interesting idea. as a matter of fact, it's quite a good idea to make your website visitors have a good laugh, instead of making them angry with a 404-error screen.",335
Encouraging,None-STEM degree,Strongly Positive,Neutral,female,"<br><span class=""highlighted"" data-timestamp=""1519070286438"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">i so love your enthusiasm and passion.</span> <span class=""highlighted"" data-timestamp=""1519070289804"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">you are seriously an incredible performer!</span>",1232
Encouraging,No degree,Positive,Neutral,male,"<br><span class=""highlighted"" data-timestamp=""1519070323393"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">emmanuel you are a great strong man</span> but i find it sad that you get so hungry that you have to be tempted to eat your friend. it is good that you found music to make you happy and fight the pain.",1595
Encouraging,None-STEM degree,Strongly Positive,Neutral,male,"<br>this talk was fantastic and deeply moving. <span class=""highlighted"" data-timestamp=""1519070359321"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">the fact that he can talk about a different culture with such passion speaks volumes for his empathy. bloody brilliant!</span>",1907
Discouraging,No degree,Neutral,Neutral,male,"<br><span class=""highlighted"" data-timestamp=""1519070387423"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">i absolutely respect his experience</span>, etc., and <span class=""highlighted"" data-timestamp=""1519070391124"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">his right to his opinion</span> but i have to question the wisdom/judgment that led to him talking to rolling stone magazine about his relationship with his commander in chief.",1220
Encouraging,None-STEM degree,Positive,Neutral,female,"you say ""always apologize when you've done something wrong, but don't you ever apologize for the way your eyes refuse to stop shining"", but sarah. . . you apologized for telling your joke that you've been so excited to share for the past week!!! don't be sorry!!!",1232
Encouraging,None-STEM degree,Positive,Neutral,female,"this one is great. the opportunities are endless. has she studied what exactly happened? may be the same can be repeated artificially. a large number of people, world leader deserve to lose their left hemisphere. the world would be a better place.",1887
Encouraging,No degree,Neutral,Neutral,male,"i guess he is saying that consciousness is an illusion of memory, which makes you think you are aware of a moment in real time but which is really just a collection of microseconds worth of short term memories that are not quite 100% accurate.",1998
Discouraging,STEM degree,Neutral,,male,"why does this talk not have subtitles/cc? especially when it is about hearing loss and cochlear implants. this is absolutely beyond me.   and additionally, i don't think this allows the deaf/hearing impaired to add their input, opinions, etc because they can't even watch the video in the first place.",1058
Discouraging,STEM degree,Neutral,Disrespectful,male,"why does this talk not have subtitles/cc? especially when it is about hearing loss and cochlear implants. this is absolutely beyond me.   and additionally, i don't think this allows the deaf/hearing impaired to add their input, opinions, etc because they can't even watch the video in the first place.",21
Encouraging,None-STEM degree,Neutral,Neutral,male,during brain surgeries they have to have the person awake and constantly talking to them to make sure that they don't cut or bump important parts of the brain. i wonder how they account for that?,1053
Encouraging,No degree,Strongly Positive,Neutral,male,"<br><span class=""highlighted"" data-timestamp=""1519070529482"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">genius</span>. my favorite lines: ""if i ran the web, you could email dead people. they would not email you back, but you'd get an automated reply.""",2037
Encouraging,None-STEM degree,Positive,Neutral,male,i really like his idea that mystery is more important than knowledge. every life should have some 'mystery boxes' in it. i cannot wait to see what he does with the 'reboot' of star trek later this year.,1913
Encouraging,None-STEM degree,Positive,Neutral,male,"<br>love the quote from his mentor... ""let the dataset change your mindset"".  <span class=""highlighted"" data-timestamp=""1519070578994"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">brillant.</span>",1370
